category,name,price,sale_price,subcategory
Health,Medicine Accessory,141.95,112,Medicine
Clothing,Kids Supplies,111,88,Kids
Health,Nutrition Mechanism,182.99,109.95,Nutrition
Electronics,Camera Apparatus,41.95,28.99,Camera
Clothing,Mens Component,95,57.95,Mens
Automotive,Engine Item,85,76.95,Engine
Electronics,Camera Device,188,131.95,Camera
Beauty,Makeup Device,11,8.95,Makeup
Electronics,Phone Paraphernalia,162.95,145.95,Phone
Health,First Aid Equipment,95,85.95,First Aid
Electronics,Phone Gear,26.99,18.99,Phone
Clothing,Baby Mechanism,61,54.99,Baby
Activity,Fitness Machine,92,64.99,Fitness
Clothing,Kids Gizmo,76,45.99,Kids
Home,Furniture Component,115.95,80.95,Furniture
Beauty,Hair Care Doodad,81.95,72.99,Hair Care
Activity,Swimming Gear,111.95,99,Swimming
Automotive,Car Equipment,160.95,144.95,Car
Activity,Biking Rig,155.99,124.95,Biking
Pets,Aquarium Item,120,72.95,Aquarium
Activity,Swimming Contraption,112.99,89,Swimming
Health,Vitamin Gear,163,114.99,Vitamin
Entertainment,Book Component,43.95,25.95,Book
Activity,Swimming Mechanism,66.95,52.99,Swimming
Entertainment,Toy Kit,185.99,148.99,Toy
Activity,Swimming Doodad,126,88,Swimming
Entertainment,Music Gizmo,123.95,73.95,Music
Home,Home Improvement Attachment,117.95,81,Home Improvement
Automotive,Truck Kit,140.99,112,Truck
Health,Vitamin Doodad,101.95,60,Vitamin
Clothing,Baby Implement,28.95,25.95,Baby
Home,Kitchen Accessory,57.95,51,Kitchen
Activity,Swimming Accessory,85,59,Swimming
Automotive,Car Implement,119,107.99,Car
Pets,Aquarium Device,45.99,31.95,Aquarium
Electronics,Computer Doodad,24.95,14.95,Computer
Home,Dining Component,177,141.99,Dining
Activity,Sports Supplies,50.99,40,Sports
Automotive,Car Accessory,81.95,56.95,Car
Clothing,Mens Widget,143,85,Mens
Entertainment,Movie Gadget,92.95,55.95,Movie
Clothing,Kids Item,186,167,Kids
Health,Vitamin Item,35.99,21.95,Vitamin
Pets,Aquarium Paraphernalia,143,114.99,Aquarium
Clothing,Baby Mechanism,16.99,11.95,Baby
Electronics,Technology Attachment,154.99,92,Technology







